Project,CostRatio,Precision,Recall,F1,MCC
kafka,1.0,0.7148,0.7711,0.7419,0.3942
kafka,2.0,0.6665,0.8856,0.7606,0.3781
kafka,5.0,0.6092,0.9729,0.7492,0.3075
kafka,10.0,0.5811,0.9949,0.7337,0.2339
kafka,15.0,0.5730,0.9984,0.7281,0.2015
kafka,20.0,0.5671,0.9994,0.7236,0.1687
gson,1.0,0.6868,0.6683,0.6774,0.4206
gson,2.0,0.6464,0.7941,0.7127,0.4395
gson,5.0,0.5902,0.9224,0.7199,0.4347
gson,10.0,0.5417,0.9759,0.6967,0.3824
gson,15.0,0.5188,0.9901,0.6809,0.3423
gson,20.0,0.5048,0.9943,0.6696,0.3089
commons-io,1.0,0.7208,0.4720,0.5705,0.5014
commons-io,2.0,0.6496,0.5613,0.6023,0.5090
commons-io,5.0,0.5715,0.6719,0.6176,0.5091
commons-io,10.0,0.5036,0.7665,0.6078,0.4951
commons-io,15.0,0.4557,0.8230,0.5866,0.4728
commons-io,20.0,0.4222,0.8607,0.5665,0.4521
