Project,FeatureSet,Seed,Precision,Recall,F1,MCC
kafka,Hybrid,1,0.5811,0.9951,0.7337,0.2344
kafka,Hybrid,2,0.5817,0.9949,0.7342,0.2367
kafka,Hybrid,3,0.5813,0.9953,0.7339,0.2357
kafka,Hybrid,4,0.5815,0.9949,0.7340,0.2358
kafka,Hybrid,5,0.5813,0.9952,0.7339,0.2353
kafka,Hybrid,6,0.5812,0.9944,0.7337,0.2334
kafka,Hybrid,7,0.5814,0.9948,0.7338,0.2348
kafka,Hybrid,8,0.5815,0.9950,0.7340,0.2360
kafka,Hybrid,9,0.5810,0.9952,0.7337,0.2342
kafka,Hybrid,10,0.5810,0.9952,0.7337,0.2340
kafka,Hybrid,11,0.5814,0.9953,0.7340,0.2360
kafka,Hybrid,12,0.5809,0.9948,0.7335,0.2325
kafka,Hybrid,13,0.5811,0.9952,0.7338,0.2347
kafka,Hybrid,14,0.5812,0.9946,0.7337,0.2339
kafka,Hybrid,15,0.5815,0.9948,0.7340,0.2356
kafka,Hybrid,16,0.5811,0.9950,0.7337,0.2341
kafka,Hybrid,17,0.5811,0.9949,0.7336,0.2336
kafka,Hybrid,18,0.5814,0.9949,0.7339,0.2355
kafka,Hybrid,19,0.5819,0.9949,0.7343,0.2374
kafka,Hybrid,20,0.5811,0.9945,0.7336,0.2332
kafka,Hybrid,21,0.5815,0.9951,0.7340,0.2361
kafka,Hybrid,22,0.5813,0.9951,0.7339,0.2352
kafka,Hybrid,23,0.5814,0.9952,0.7340,0.2361
kafka,Hybrid,24,0.5815,0.9951,0.7341,0.2364
kafka,Hybrid,25,0.5813,0.9950,0.7339,0.2352
kafka,Hybrid,26,0.5815,0.9952,0.7341,0.2365
kafka,Hybrid,27,0.5818,0.9952,0.7343,0.2377
kafka,Hybrid,28,0.5814,0.9952,0.7340,0.2361
kafka,Hybrid,29,0.5811,0.9950,0.7337,0.2340
kafka,Hybrid,30,0.5811,0.9950,0.7337,0.2342
kafka,Process,1,0.5807,0.9922,0.7326,0.2258
kafka,Process,2,0.5807,0.9921,0.7326,0.2260
kafka,Process,3,0.5810,0.9923,0.7329,0.2279
kafka,Process,4,0.5809,0.9923,0.7328,0.2269
kafka,Process,5,0.5809,0.9926,0.7329,0.2280
kafka,Process,6,0.5812,0.9927,0.7331,0.2292
kafka,Process,7,0.5803,0.9924,0.7324,0.2247
kafka,Process,8,0.5806,0.9922,0.7325,0.2255
kafka,Process,9,0.5808,0.9925,0.7328,0.2271
kafka,Process,10,0.5814,0.9921,0.7332,0.2293
kafka,Process,11,0.5810,0.9924,0.7329,0.2277
kafka,Process,12,0.5811,0.9927,0.7331,0.2290
kafka,Process,13,0.5809,0.9920,0.7327,0.2266
kafka,Process,14,0.5809,0.9925,0.7329,0.2275
kafka,Process,15,0.5808,0.9926,0.7328,0.2272
kafka,Process,16,0.5808,0.9924,0.7328,0.2269
kafka,Process,17,0.5809,0.9922,0.7328,0.2269
kafka,Process,18,0.5811,0.9927,0.7331,0.2290
kafka,Process,19,0.5810,0.9926,0.7330,0.2284
kafka,Process,20,0.5808,0.9925,0.7328,0.2271
kafka,Process,21,0.5806,0.9919,0.7325,0.2249
kafka,Process,22,0.5809,0.9926,0.7329,0.2279
kafka,Process,23,0.5808,0.9924,0.7327,0.2268
kafka,Process,24,0.5807,0.9927,0.7328,0.2271
kafka,Process,25,0.5808,0.9927,0.7328,0.2276
kafka,Process,26,0.5807,0.9926,0.7327,0.2267
kafka,Process,27,0.5808,0.9925,0.7328,0.2273
kafka,Process,28,0.5806,0.9925,0.7327,0.2264
kafka,Process,29,0.5812,0.9925,0.7331,0.2289
kafka,Process,30,0.5811,0.9927,0.7331,0.2291
kafka,Static,1,0.5655,0.9817,0.7176,0.1157
kafka,Static,2,0.5655,0.9812,0.7175,0.1153
kafka,Static,3,0.5653,0.9814,0.7174,0.1137
kafka,Static,4,0.5658,0.9815,0.7178,0.1174
kafka,Static,5,0.5656,0.9814,0.7176,0.1160
kafka,Static,6,0.5657,0.9821,0.7179,0.1179
kafka,Static,7,0.5654,0.9815,0.7175,0.1149
kafka,Static,8,0.5654,0.9817,0.7176,0.1152
kafka,Static,9,0.5655,0.9818,0.7177,0.1163
kafka,Static,10,0.5652,0.9810,0.7172,0.1122
kafka,Static,11,0.5650,0.9812,0.7171,0.1113
kafka,Static,12,0.5658,0.9822,0.7180,0.1192
kafka,Static,13,0.5658,0.9821,0.7179,0.1185
kafka,Static,14,0.5655,0.9814,0.7175,0.1152
kafka,Static,15,0.5655,0.9806,0.7174,0.1143
kafka,Static,16,0.5654,0.9815,0.7175,0.1145
kafka,Static,17,0.5656,0.9823,0.7179,0.1176
kafka,Static,18,0.5657,0.9827,0.7181,0.1190
kafka,Static,19,0.5656,0.9817,0.7177,0.1168
kafka,Static,20,0.5659,0.9815,0.7179,0.1187
kafka,Static,21,0.5657,0.9816,0.7177,0.1170
kafka,Static,22,0.5655,0.9818,0.7176,0.1159
kafka,Static,23,0.5657,0.9817,0.7177,0.1169
kafka,Static,24,0.5657,0.9820,0.7178,0.1175
kafka,Static,25,0.5656,0.9812,0.7176,0.1160
kafka,Static,26,0.5655,0.9817,0.7176,0.1157
kafka,Static,27,0.5658,0.9816,0.7178,0.1176
kafka,Static,28,0.5657,0.9821,0.7179,0.1181
kafka,Static,29,0.5650,0.9812,0.7171,0.1114
kafka,Static,30,0.5657,0.9819,0.7178,0.1174
gson,Hybrid,1,0.5437,0.9752,0.6981,0.3862
gson,Hybrid,2,0.5401,0.9752,0.6952,0.3781
gson,Hybrid,3,0.5397,0.9773,0.6954,0.3794
gson,Hybrid,4,0.5439,0.9738,0.6980,0.3854
gson,Hybrid,5,0.5416,0.9748,0.6964,0.3812
gson,Hybrid,6,0.5392,0.9755,0.6945,0.3762
gson,Hybrid,7,0.5419,0.9766,0.6970,0.3836
